LSOA11CD,LSOA21CD,CHGIND
E01019139,E01019139,U
E01032550,E01034259,S
E01000232,E01000232,U
E01032551,E01032551,U
E01007344,E01007344,U
E01007402,E01007402,U
E01007403,E01007403,U
E01007405,E01007405,U
E01007379,E01007379,U
E01007380,E01007380,U
E01007381,E01007381,U
E01007387,E01007387,U
E01007442,E01007442,U
E01007444,E01007444,U
E01007446,E01007446,U
E01007336,E01007336,U
E01007340,E01007340,U
E01007415,E01007415,U
E01007417,E01007417,U
E01007441,E01007441,U
E01007443,E01007443,U
E01007445,E01007445,U
E01007372,E01007372,U
E01007373,E01007373,U
E01000233,E01000233,U
E01007374,E01007374,U
E01000186,E01000186,U
E01007375,E01007375,U
E01000187,E01000187,U
E01007377,E01007377,U
E01007378,E01007378,U
E01000188,E01000188,U
E01007319,E01007319,U
E01000189,E01000189,U
E01007321,E01007321,U
E01007322,E01007322,U
E01000190,E01000190,U
E01007337,E01007337,U
E01000191,E01000191,U
E01007418,E01007418,U
E01000158,E01000158,U
E01007419,E01007419,U
E01000159,E01000159,U
E01007420,E01007420,U
E01000160,E01000160,U
E01007425,E01007425,U
E01000161,E01000161,U
E01007338,E01007338,U
E01000162,E01000162,U
E01007339,E01007339,U
E01000324,E01000324,U
E01007413,E01007413,U
E01000256,E01000256,U
E01007414,E01007414,U
E01000258,E01000258,U
E01007317,E01007317,U
E01000263,E01000263,U
E01007318,E01007318,U
E01000264,E01000264,U
E01007320,E01007320,U
E01000255,E01000255,U
E01007416,E01007416,U
E01000257,E01000257,U
E01007382,E01007382,U
E01000261,E01000261,U
E01007383,E01007383,U
E01000262,E01033911,S
E01007384,E01007384,U
E01000262,E01033912,S
E01007385,E01007385,U
E01000192,E01000192,U
E01007348,E01007348,U
E01000193,E01000193,U
E01007349,E01007349,U
E01000194,E01000194,U
E01007350,E01007350,U
E01000226,E01000226,U
E01000227,E01000227,U
E01000299,E01000299,U
E01000300,E01000300,U
E01000302,E01000302,U
E01000317,E01000317,U
E01000318,E01000318,U
E01000323,E01000323,U
E01000276,E01000276,U
E01000278,E01000278,U
E01000301,E01000301,U
E01000303,E01000303,U
E01000304,E01000304,U
E01000130,E01000130,U
E01000132,E01000132,U
E01000133,E01000133,U
E01000234,E01000234,U
E01000235,E01000235,U
E01000156,E01000156,U
E01000157,E01000157,U
E01000163,E01000163,U
E01000164,E01000164,U
E01000165,E01000165,U
E01007351,E01007351,U
E01007352,E01007352,U
E01007353,E01007353,U
E01007354,E01007354,U
E01007458,E01007458,U
E01007459,E01007459,U
E01007460,E01007460,U
E01007461,E01007461,U
E01007462,E01007462,U
E01007463,E01007463,U
E01007369,E01007369,U
E01007370,E01007370,U
E01007371,E01007371,U
E01007376,E01007376,U
E01007447,E01007447,U
E01007448,E01007448,U
E01007449,E01007449,U
E01007450,E01007450,U
E01007427,E01007427,U
E01007428,E01007428,U
E01007429,E01007429,U
E01007430,E01007430,U
E01007431,E01007431,U
E01007432,E01007432,U
E01007364,E01007364,U
E01007365,E01007365,U
E01007366,E01007366,U
E01007367,E01007367,U
E01007368,E01007368,U
E01007451,E01007451,U
E01007452,E01007452,U
E01007453,E01007453,U
E01007455,E01007455,U
E01032924,E01032924,U
E01032925,E01032925,U
E01007421,E01007421,U
E01007422,E01007422,U
E01007423,E01007423,U
E01007426,E01007426,U
E01007396,E01007396,U
E01007397,E01007397,U
E01007398,E01007398,U
E01007399,E01007399,U
E01007424,E01007424,U
E01007388,E01007388,U
E01007393,E01007393,U
E01007394,E01007394,U
E01007456,E01007456,U
E01007457,E01007457,U
E01007389,E01007389,U
E01000222,E01000222,U
E01000224,E01000224,U
E01000137,E01000137,U
E01000139,E01000139,U
E01000140,E01000140,U
E01000143,E01000143,U
E01007434,E01007434,U
E01007435,E01007435,U
E01007438,E01007438,U
E01007439,E01007439,U
E01007433,E01007433,U
E01007436,E01007436,U
E01007437,E01007437,U
E01007440,E01007440,U
E01007329,E01007329,U
E01007331,E01007331,U
E01007342,E01007342,U
E01007343,E01007343,U
E01007356,E01007356,U
E01007357,E01007357,U
E01007361,E01007361,U
E01007362,E01007362,U
E01007363,E01007363,U
E01007355,E01007355,U
E01007358,E01007358,U
E01007359,E01007359,U
E01007360,E01007360,U
E01007386,E01007386,U
E01007328,E01007328,U
E01007330,E01007330,U
E01007332,E01007332,U
E01007333,E01007333,U
E01007323,E01007323,U
E01007324,E01007324,U
E01007325,E01007325,U
E01007326,E01007326,U
E01007327,E01007327,U
E01007411,E01007411,U
E01007341,E01007341,U
E01007345,E01007345,U
E01007346,E01007346,U
E01007347,E01007347,U
E01007334,E01007334,U
E01007335,E01007335,U
E01007400,E01007400,U
E01007404,E01007404,U
E01007406,E01007406,U
E01007408,E01007408,U
E01007409,E01007409,U
E01007410,E01007410,U
E01019185,E01019185,U
E01019186,E01019186,U
E01019187,E01019187,U
E01021237,E01021237,U
E01021238,E01021238,U
E01021242,E01021242,U
E01021250,E01021250,U
E01021251,E01021251,U
E01021245,E01021245,U
E01021246,E01021246,U
E01021248,E01021248,U
E01021249,E01021249,U
E01021252,E01021252,U
E01021239,E01021239,U
E01021240,E01021240,U
E01021241,E01021241,U
E01021243,E01021243,U
E01021247,E01021247,U
E01021244,E01021244,U
E01021253,E01021253,U
E01021255,E01021255,U
E01021256,E01021256,U
E01021258,E01021258,U
E01021334,E01021334,U
E01021336,E01021336,U
E01021338,E01021338,U
E01021339,E01021339,U
E01021264,E01021264,U
E01021329,E01021329,U
E01021330,E01021330,U
E01021332,E01021332,U
E01021333,E01021333,U
E01021335,E01021335,U
E01021337,E01021337,U
E01021340,E01021340,U
E01021341,E01021341,U
E01021345,E01021345,U
E01021331,E01021331,U
E01021342,E01021342,U
E01021343,E01021343,U
E01021344,E01021344,U
E01021346,E01021346,U
E01021254,E01021254,U
E01021257,E01021257,U
E01021259,E01021259,U
E01021260,E01021260,U
E01021261,E01021261,U
E01021262,E01021262,U
E01021263,E01021263,U
E01021274,E01021274,U
E01000315,E01000315,U
E01000197,E01000197,U
E01000295,E01000295,U
